Key,English [en],Vietnamese [vi]
"Narrative/Trap/1","You step into an *ancient formation*! Sword qi lashes out before you break free. <b>-{dmg} HP</b>.","Bạn giẫm phải *trận pháp cổ*! Kiếm khí quật tới trước khi bạn kịp thoát ra. <b>-{dmg} HP</b>."
"Narrative/Trap/2","A pocket of *miasma* bursts underfoot! <b>-{dmg} HP</b>.","Một túi *chướng khí* bung ra dưới chân! <b>-{dmg} HP</b>."
"Narrative/Treasure/1","Half-buried in moss: a predecessor's *jade slip*! Studying it grants <b>+{xp} qi</b>.","Vùi nửa trong rêu: một tấm *ngọc giản* tiền nhân! Tham ngộ nó cho <b>+{xp} tu vi</b>."
"Narrative/Treasure/2","You pry open a *cave-abode chest* of faded elixirs. <b>+{xp} qi</b>.","Bạn cạy mở một *rương động phủ* đầy đan dược tàn hương. <b>+{xp} tu vi</b>."
"Narrative/WorldClear/1","The demonic qi settles. *{p}* is pacified - you ride your sword to the next realm. <b>+{n} spirit stones</b>.","Yêu khí lắng xuống. *{p}* đã bình định - bạn ngự kiếm phi thăng tới cõi kế tiếp. <b>+{n} linh thạch</b>."
"Narrative/LevelUpSuffix"," <b>Breakthrough! Stage {lv}</b>"," <b>Đột phá! Tầng {lv}</b>"
"Narrative/IntroNewRun","You set foot in *{p}* - spirit mist curls along the ridges. Tap <b>CULTIVATE</b> to set out.","Bạn đặt chân tới *{p}* - mây linh khí vờn quanh sườn núi. Chạm <b>TU LUYỆN</b> để lên đường."
"Narrative/IntroResume","You emerge from seclusion - your journey through *{p}* continues. Tap <b>CULTIVATE</b>.","Xuất quan - hành trình tại *{p}* vẫn tiếp tục. Chạm <b>TU LUYỆN</b>."
"Narrative/Death","Your meridians shatter... the *{e}* was too strong. Your soul drifts into the wheel of reincarnation.","Kinh mạch đứt đoạn... *{e}* quá mạnh. Linh hồn bạn trôi vào vòng luân hồi."
"Narrative/ElitePrefix","Awakened {e}","{e} Thành Tinh"
"Narrative/BeastName/1","Stonefiend","Thạch Quái"
"Narrative/BeastName/2","Flamefox","Hỏa Hồ"
"Narrative/BeastName/3","Azure Wolf","Thanh Lang"
"Narrative/BeastName/4","Venomweaver","Độc Chu"
"Narrative/BeastName/5","Thunder Rat","Lôi Thử"
"Narrative/BeastName/6","Frost Serpent","Băng Xà"
"Narrative/BeastName/7","Woodwraith","Mộc Linh"
"Narrative/BeastName/8","Bloodwing","Huyết Bức"
"Narrative/BossName/1","Mountain Lord","Sơn Quân"
"Narrative/BossName/2","Flame Qilin","Hỏa Kỳ Lân"
"Narrative/BossName/3","Frost Dragon","Băng Giao Long"
"Narrative/BossName/4","Gloom Demon Lord","U Minh Ma Quân"
"Narrative/BossName/5","Hollow Ancient God","Hư Không Cổ Thần"
"World/AzureCloud","Azure Cloud Peaks","Thanh Vân Sơn"
"World/Emberfall","Emberfall Valley","Hỏa Diệm Cốc"
"World/Frostmoon","Frostmoon Ridge","Hàn Nguyệt Phong"
"World/Gloomfen","Gloomfen Marsh","U Minh Trạch"
"World/HollowDeep","The Hollow Deep","Hư Không Uyên"
"Sidekick/FlyingSword/Name","Flying Sword","Phi Kiếm"
"Sidekick/FlyingSword/Desc","adds +15% of your ATK each strike","cộng thêm 15% ATK mỗi đòn đánh"
"Sidekick/Lingzhi/Name","Lingzhi Sprite","Linh Chi"
"Sidekick/Lingzhi/Desc","heals 2% Max HP each beat","hồi 2% HP tối đa mỗi nhịp"
"Sidekick/ShellWard/Name","Shell Ward","Quy Giáp"
"Sidekick/ShellWard/Desc","blocks 12% incoming damage","chặn 12% sát thương nhận vào"
"Sidekick/ThunderPearl/Name","Thunder Pearl","Lôi Châu"
"Sidekick/ThunderPearl/Desc","crit chance +6%","tỉ lệ chí mạng +6%"
"Fortune/MaxHp","Max HP +7%","HP tối đa +7%"
"Fortune/Atk","ATK +5%","ATK +5%"
"Fortune/Def","DEF +2","DEF +2"
"Fortune/Crit","Crit +3%","Chí mạng +3%"
"Fortune/Heal","Heal 20% HP","Hồi 20% HP"
"Upgrade/FlameArt/Name","Blazing Flame Art","Liệt Hỏa Quyết"
"Upgrade/FlameArt/Desc","ATK +18%","ATK +18%"
"Upgrade/UndyingBody/Name","Undying Body","Bất Diệt Thể"
"Upgrade/UndyingBody/Desc","Max HP +22%","HP tối đa +22%"
"Upgrade/GoldenBell/Name","Golden Bell Shield","Kim Chung Tráo"
"Upgrade/GoldenBell/Desc","DEF +4","DEF +4"
"Upgrade/EssenceDrain/Name","Essence Drain","Hấp Tinh Đại Pháp"
"Upgrade/EssenceDrain/Desc","Lifesteal 8% of damage","Hút máu 8% sát thương"
"Upgrade/SpiritEye/Name","Spirit Eye","Linh Nhãn Thông"
"Upgrade/SpiritEye/Desc","Crit chance +8%","Tỉ lệ chí mạng +8%"
"Upgrade/ReboundForce/Name","Rebound Force","Phản Chấn Công"
"Upgrade/ReboundForce/Desc","Thorns: reflect 20% dmg","Phản đòn: dội lại 20% sát thương"
"Upgrade/QiDeviation/Name","Qi Deviation","Tẩu Hỏa Nhập Ma"
"Upgrade/QiDeviation/Desc","ATK +30% but Max HP -10%","ATK +30% nhưng HP tối đa -10%"
"Upgrade/RejuvenationPill/Name","Rejuvenation Pill","Hồi Xuân Đan"
"Upgrade/RejuvenationPill/Desc","Heal 45% HP instantly","Hồi ngay 45% HP"
"Meta/BodyTempering/Name","Body Tempering","Luyện Thể"
"Meta/BodyTempering/Desc","Max HP +8% per rank","HP tối đa +8% mỗi bậc"
"Meta/QiRefining/Name","Qi Refining","Luyện Khí"
"Meta/QiRefining/Desc","ATK +7% per rank","ATK +7% mỗi bậc"
"Meta/Foundation/Name","Foundation","Trúc Cơ"
"Meta/Foundation/Desc","DEF +2 per rank","DEF +2 mỗi bậc"
"Meta/GoldenCore/Name","Golden Core","Kim Đan"
"Meta/GoldenCore/Desc","Lifesteal +2% per rank","Hút máu +2% mỗi bậc"
"Meta/NascentSoul/Name","Nascent Soul","Nguyên Anh"
"Meta/NascentSoul/Desc","Thorns +6% per rank","Phản đòn +6% mỗi bậc"
"Meta/SpiritSevering/Name","Spirit Transformation","Hóa Thần"
"Meta/SpiritSevering/Desc","Crit +3% per rank","Chí mạng +3% mỗi bậc"
"UI/Engage/Engage","CULTIVATE","TU LUYỆN"
"UI/Engage/Traveling","JOURNEYING...","ĐANG HÀNH TẨU..."
"UI/Engage/Battling","FIGHTING...","ĐANG GIAO CHIẾN..."
"UI/Engage/Choosing","CHOOSE...","HÃY CHỌN..."
"UI/Engage/NewRun","REINCARNATE","CHUYỂN THẾ"
"UI/Hud/Round","Round {0}/{1}","Vòng {0}/{1}"
"UI/Hud/Level","Lv.{0}","Tầng {0}"
"UI/Hud/Speed","x{0}","x{0}"
"UI/Hud/StatXp","QI","TU VI"
"UI/Hud/StatHp","VITALITY","KHÍ HUYẾT"
"UI/Hud/StatAtk","SWORD QI","KIẾM KHÍ"
"UI/Hud/StatDef","WARD","HỘ THỂ"
"UI/Console/Cycle","Cycle {0}","Chu Thiên {0}"
"UI/Stage/BossPrefix","BOSS {0}","YÊU VƯƠNG {0}"
"UI/Banner/Acquired","Acquired","Đã nhận"
"UI/Banner/SmallFortune","Lucky encounter","Cơ duyên nhỏ"
"UI/Banner/NewSidekick","New artifact","Pháp bảo mới"
"UI/Banner/SidekickSwap","Artifact swap","Hoán đổi pháp bảo"
"UI/Banner/WorldCleared","Realm pacified","Cõi đã bình định"
"UI/Banner/SidekickJoins","{s} attunes!","{s} nhận chủ!"
"UI/Banner/WarpingTo","Ascending to {p}!","Phi thăng tới {p}!"
"UI/Choice/Release","Release {s}","Trả {s} về trời"
"UI/Choice/AdoptDesc","Bind <b>{s}</b> - {d}","Luyện hóa <b>{s}</b> - {d}"
"UI/Choice/WaveGoodbye","Let it go","Tiễn bảo vật đi"
"UI/Choice/SnackDesc","Keep your set - it leaves a healing pill (+{n}% HP)","Giữ nguyên bộ pháp bảo - nhận một viên đan (+{n}% HP)"
"UI/Floater/Enraged","ENRAGED!","NỔI SÁT KHÍ!"
"UI/Floater/LevelUp","BREAKTHROUGH!","ĐỘT PHÁ!"
"UI/Overlay/Settings","Settings","Cài đặt"
"UI/Nav/Path","Path","Đạo Đồ"
"UI/Nav/Profile","Profile","Hồ sơ"
"UI/Nav/Records","Records","Bảng vàng"
"UI/Nav/Settings","Settings","Cài đặt"
"UI/Profile/Title","Profile","Hồ sơ"
"UI/Profile/Level","<b>Stage {0}</b>   Qi {1}/{2}","<b>Tầng {0}</b>   Tu vi {1}/{2}"
"UI/Profile/Vitals","HP {0}/{1}    ATK {2}    DEF {3}","HP {0}/{1}    ATK {2}    HỘ THỂ {3}"
"UI/Profile/Edge","Crit {0}%    Lifesteal {1}%    Thorns {2}%","Chí mạng {0}%    Hút máu {1}%    Phản đòn {2}%"
"UI/Profile/Crew","Artifacts: {0}","Pháp bảo: {0}"
"UI/Profile/CrewNone","traveling alone","chưa luyện hóa món nào"
"UI/Profile/Where","{0}   Round {1}/{2}   Cycle {3}","{0}   Vòng {1}/{2}   Chu Thiên {3}"
"UI/Records/Title","Records","Bảng vàng"
"UI/Records/NoBest","No life recorded yet.","Chưa có kiếp tu nào được ghi nhận."
"UI/Records/Lifetime","Spirit stones earned all-time: <b>{0}</b>","Tổng linh thạch đã thu: <b>{0}</b>"
"UI/Records/ThisRun","<b>This life</b>","<b>Kiếp này</b>"
"UI/Overlay/MusicOn","Music: ON","Nhạc: BẬT"
"UI/Overlay/MusicOff","Music: OFF","Nhạc: TẮT"
"UI/Overlay/SfxOn","SFX: ON","Âm thanh: BẬT"
"UI/Overlay/SfxOff","SFX: OFF","Âm thanh: TẮT"
"UI/Overlay/Restart","Restart this life","Tu lại từ đầu"
"UI/Overlay/ResetAll","Reset all data","Xóa toàn bộ dữ liệu"
"UI/Overlay/Language","Language: {0}","Ngôn ngữ: {0}"
"UI/Overlay/About","One Tap Immortal - a one-tap cultivation journey.","Nhất Niệm Thành Tiên - hành trình tu tiên chỉ một chạm."
"UI/Overlay/BestShort","Best: Realm {0} - Round {1}","Kỷ lục: Cõi {0} - Vòng {1}"
"UI/Overlay/Shards","Spirit stones: <b>{0}</b>","Linh thạch: <b>{0}</b>"
"UI/Menu/Title","One Tap Immortal","Nhất Niệm Thành Tiên"
"UI/Menu/Subtitle","A one-tap cultivation roguelite","Roguelite tu tiên chỉ một chạm"
"UI/Menu/Continue","CONTINUE","ĐI TIẾP"
"UI/Menu/Progress","{0}  ·  Round {1}/{2}","{0}  ·  Vòng {1}/{2}"
"UI/Menu/NewRun","Reincarnate","Chuyển thế"
"UI/Menu/Entry","Main menu","Màn hình chính"
"UI/Path/Title","Cultivation Path","Con Đường Tu Luyện"
"UI/Path/Entry","Cultivation Path","Con Đường Tu Luyện"
"UI/Path/Intro","Ascend the realms one rank at a time. Perfect a realm to open the next - every rank is permanent.","Leo từng cảnh giới, từng bậc một. Viên mãn một cảnh giới để mở cảnh giới kế - mọi bậc đều vĩnh viễn."
"UI/Path/Shards","<b>{0}</b>","<b>{0}</b>"
"UI/Path/Cost","{0}","{0}"
"UI/Path/Maxed","MAX","VIÊN MÃN"
"UI/Path/Locked","Locked","Chưa thông"
"UI/Path/Back","Back","Quay lại"
"UI/Death/Title","This Life Ends","Kiếp Này Khép Lại"
"UI/Death/FellOn","You fell in <b>{0}</b>","Bạn gục ngã tại <b>{0}</b>"
"UI/Death/Progress","<size=140%>Realm {0} - Round {1}</size>","<size=140%>Cõi {0} - Vòng {1}</size>"
"UI/Death/LevelCycle","Stage {0} - Cycle {1}","Tầng {0} - Chu Thiên {1}"
"UI/Death/HitLine","Hits {0} - Crits {1} - Max hit {2}","Đòn đánh {0} - Chí mạng {1} - Đòn mạnh nhất {2}"
"UI/Death/DamageLine","Damage dealt {0}","Tổng sát thương {0}"
"UI/Death/SlainLine","Awakened {0} - Beast Lords {1}","Thành tinh {0} - Yêu vương {1}"
"UI/Death/Shards","Spirit stones <color=#FFD35C><b>+{0}</b></color> - you now hold {1}","Linh thạch <color=#FFD35C><b>+{0}</b></color> - hiện có {1}"
"UI/Death/NewBest","<color=#FFD35C><b>A NEW PEAK!</b></color>","<color=#FFD35C><b>KỶ LỤC MỚI!</b></color>"
"UI/Death/BestRun","Best life: Realm {0} - Round {1} (Stage {2})","Kỷ lục: Cõi {0} - Vòng {1} (Tầng {2})"
"UI/Language/en","English","English"
"UI/Language/vi","Tiếng Việt","Tiếng Việt"
