Key,English [en],Vietnamese [vi]
"Upgrade/GeneSplice/Desc","Max HP +22%","HP tối đa +22%"
"Upgrade/OrbitalPlating/Name","Orbital Plating","Giáp Quỹ Đạo"
"Upgrade/OrbitalPlating/Desc","Shield DEF +4","DEF khiên +4"
"Upgrade/SymbioteFangs/Name","Symbiote Fangs","Nanh Cộng Sinh"
"Upgrade/SymbioteFangs/Desc","Lifesteal 8% of damage","Hút máu 8% sát thương"
"Upgrade/TargetingVisor/Name","Targeting Visor","Kính Ngắm"
"Upgrade/TargetingVisor/Desc","Crit chance +8%","Tỉ lệ chí mạng +8%"
"Upgrade/SpikeMembrane/Name","Spike Membrane","Màng Gai"
"Upgrade/SpikeMembrane/Desc","Thorns: reflect 20% dmg","Phản đòn: dội lại 20% sát thương"
"Upgrade/UnstableCore/Name","Unstable Core","Lõi Bất Ổn"
"Upgrade/UnstableCore/Desc","ATK +30% but Max HP -10%","ATK +30% nhưng HP tối đa -10%"
"Upgrade/NanoSerum/Name","Nano Serum","Huyết Thanh Nano"
"Upgrade/NanoSerum/Desc","Heal 45% HP instantly","Hồi ngay 45% HP"
"Meta/StarHull/Name","Star Hull","Vỏ Sao"
"Meta/StarHull/Desc","Max HP +8% per rank","HP tối đa +8% mỗi bậc"
"Meta/IonEdge/Name","Ion Edge","Lưỡi Ion"
"Meta/IonEdge/Desc","ATK +7% per rank","ATK +7% mỗi bậc"
"Meta/AegisWeave/Name","Aegis Weave","Lưới Chắn"
"Meta/AegisWeave/Desc","DEF +2 per rank","DEF +2 mỗi bậc"
"Meta/VoidFangs/Name","Void Fangs","Nanh Hư Vô"
"Meta/VoidFangs/Desc","Lifesteal +2% per rank","Hút máu +2% mỗi bậc"
"Meta/QuillPlate/Name","Quill Plate","Giáp Lông Nhím"
"Meta/QuillPlate/Desc","Thorns +6% per rank","Phản đòn +6% mỗi bậc"
"Meta/LuckyNova/Name","Lucky Nova","Sao May"
"Meta/LuckyNova/Desc","Crit +3% per rank","Chí mạng +3% mỗi bậc"
"UI/Engage/Engage","ENGAGE","XUẤT PHÁT"
"UI/Engage/Traveling","TRAVELING...","ĐANG ĐI..."
"UI/Engage/Battling","BATTLING...","ĐANG ĐÁNH..."
"UI/Engage/Choosing","CHOOSE...","HÃY CHỌN..."
"UI/Engage/NewVoyage","NEW VOYAGE","HÀNH TRÌNH MỚI"
"UI/Hud/Round","Round {0}/{1}","Vòng {0}/{1}"
"UI/Hud/Level","Lv.{0}","Cấp {0}"
"UI/Hud/Speed","x{0}","x{0}"
"UI/Hud/StatXp","XP","XP"
"UI/Hud/StatHp","ALIEN HP","MÁU ALIEN"
"UI/Hud/StatAtk","COSMIC ATK","ATK VŨ TRỤ"
"UI/Hud/StatDef","SHIELD DEF","GIÁP KHIÊN"
"UI/Console/StarCycle","Star Cycle {0}","Chu Kỳ Sao {0}"
"UI/Stage/BossPrefix","BOSS {0}","TRÙM {0}"
"UI/Banner/Acquired","Acquired","Đã nhận"
"UI/Banner/SmallFortune","Small fortune","Vận may nhỏ"
"UI/Banner/NewSidekick","New sidekick","Bạn đồng hành mới"
"UI/Banner/SidekickSwap","Sidekick swap","Đổi bạn đồng hành"
"UI/Banner/PlanetCleared","Planet cleared","Đã chinh phục hành tinh"
"UI/Banner/SidekickJoins","{s} joins!","{s} gia nhập!"
"UI/Banner/WarpingTo","Warping to {p}!","Dịch chuyển tới {p}!"
"UI/Choice/Release","Release {s}","Thả {s}"
"UI/Choice/AdoptDesc","Adopt <b>{s}</b> - {d}","Nhận <b>{s}</b> - {d}"
"UI/Choice/WaveGoodbye","Wave goodbye","Vẫy tay tạm biệt"
"UI/Choice/SnackDesc","Keep your pod - it gifts a snack (+{n}% HP)","Giữ nguyên khoang - nhận một bữa nhẹ (+{n}% HP)"
"UI/Floater/Enraged","ENRAGED!","CUỒNG NỘ!"
"UI/Floater/LevelUp","LEVEL UP!","LÊN CẤP!"
"UI/Overlay/Settings","Settings","Cài đặt"
"UI/Nav/Forge","Forge","Lò Rèn"
"UI/Nav/Profile","Profile","Hồ sơ"
"UI/Nav/Records","Records","Bảng vàng"
"UI/Nav/Settings","Settings","Cài đặt"
"UI/Profile/Title","Profile","Hồ sơ"
"UI/Profile/Level","<b>Level {0}</b>   XP {1}/{2}","<b>Cấp {0}</b>   XP {1}/{2}"
"UI/Profile/Vitals","HP {0}/{1}    ATK {2}    DEF {3}","HP {0}/{1}    ATK {2}    GIÁP {3}"
"UI/Profile/Edge","Crit {0}%    Lifesteal {1}%    Thorns {2}%","Chí mạng {0}%    Hút máu {1}%    Phản đòn {2}%"
"UI/Profile/Crew","Crew: {0}","Đồng hành: {0}"
"UI/Profile/CrewNone","flying solo","chưa có ai"
"UI/Profile/Where","{0}   Round {1}/{2}   Star Cycle {3}","{0}   Vòng {1}/{2}   Chu Kỳ Sao {3}"
"UI/Records/Title","Records","Bảng vàng"
"UI/Records/NoBest","No voyage recorded yet.","Chưa có hành trình nào được ghi nhận."
"UI/Records/Lifetime","Star shards earned all-time: <b>{0}</b>","Tổng mảnh sao đã kiếm: <b>{0}</b>"
"UI/Records/ThisRun","<b>This voyage</b>","<b>Hành trình này</b>"
"UI/Overlay/MusicOn","Music: ON","Nhạc: BẬT"
"UI/Overlay/MusicOff","Music: OFF","Nhạc: TẮT"
"UI/Overlay/SfxOn","SFX: ON","Âm thanh: BẬT"
"UI/Overlay/SfxOff","SFX: OFF","Âm thanh: TẮT"
"UI/Overlay/Restart","Restart voyage","Chơi lại từ đầu"
"UI/Overlay/ResetAll","Reset all data","Xóa toàn bộ dữ liệu"
"UI/Overlay/Language","Language: {0}","Ngôn ngữ: {0}"
"UI/Overlay/About","Cosmic Critter Quest - a tap-to-advance auto-battle voyage.","Cosmic Critter Quest - hành trình tự chiến đấu chỉ với một nút chạm."
"UI/Overlay/BestShort","Best voyage: Planet {0} - Round {1}","Kỷ lục: Hành tinh {0} - Vòng {1}"
"UI/Overlay/Shards","Star shards: <b>{0}</b>","Mảnh sao: <b>{0}</b>"
"UI/Menu/Title","Cosmic Critter Quest","Cosmic Critter Quest"
"UI/Menu/Subtitle","A one-tap roguelite voyage","Hành trình roguelite chỉ một chạm"
"UI/Menu/Continue","CONTINUE","ĐI TIẾP"
"UI/Menu/Progress","{0}  ·  Round {1}/{2}","{0}  ·  Vòng {1}/{2}"
"UI/Menu/NewRun","New voyage","Hành trình mới"
"UI/Menu/Entry","Main menu","Màn hình chính"
"UI/Forge/Title","Star Forge","Lò Rèn Sao"
"UI/Forge/Entry","Star Forge","Lò Rèn Sao"
"UI/Forge/Intro","Climb the path one rank at a time. Finish a step to open the next - every rank is permanent.","Leo lên từng bậc một. Hoàn tất một bước để mở bước kế - mọi bậc đều là vĩnh viễn."
"UI/Forge/Shards","<b>{0}</b>","<b>{0}</b>"
"UI/Forge/Cost","{0}","{0}"
"UI/Forge/Maxed","MAX","TỐI ĐA"
"UI/Forge/Locked","Locked","Chưa mở"
"UI/Forge/Back","Back","Quay lại"
"UI/Death/Title","Voyage Ended","Kết thúc hành trình"
"UI/Death/FellOn","You fell on <b>{0}</b>","Bạn gục ngã trên <b>{0}</b>"
"UI/Death/Progress","<size=140%>Planet {0} - Round {1}</size>","<size=140%>Hành tinh {0} - Vòng {1}</size>"
"UI/Death/LevelCycle","Level {0} - Star Cycle {1}","Cấp {0} - Chu Kỳ Sao {1}"
"UI/Death/HitLine","Hits {0} - Crits {1} - Max hit {2}","Đòn đánh {0} - Chí mạng {1} - Đòn mạnh nhất {2}"
"UI/Death/DamageLine","Damage dealt {0}","Tổng sát thương {0}"
"UI/Death/SlainLine","Elites {0} - Bosses {1}","Tinh anh {0} - Trùm {1}"
"UI/Death/Shards","Star shards <color=#FFD35C><b>+{0}</b></color> - you now hold {1}","Mảnh sao <color=#FFD35C><b>+{0}</b></color> - bạn đang có {1}"
"UI/Death/NewBest","<color=#FFD35C><b>NEW BEST VOYAGE!</b></color>","<color=#FFD35C><b>KỶ LỤC MỚI!</b></color>"
"UI/Death/BestVoyage","Best voyage: Planet {0} - Round {1} (Lv.{2})","Kỷ lục: Hành tinh {0} - Vòng {1} (Cấp {2})"
"UI/Language/en","English","English"
"UI/Language/vi","Tiếng Việt","Tiếng Việt"
